Source,Target,Relation
TOPIC0,8896985625RW134,YT
TOPIC0,8896985625RW1889,YT
TOPIC0,8896985625RW1890,YT
TOPIC0,8896985625RW1893,YT
TOPIC0,8896985625RW1899,YT
TOPIC0,8896985625RW1908,YT
TOPIC0,8896985625RW1918,YT
TOPIC0,8896985625RW1922,YT
TOPIC0,8896985625RW1927,YT
TOPIC0,8896985625RW1928,YT
TOPIC0,8896985625RW1929,YT
TOPIC0,8896985625RW1936,YT
TOPIC0,8896985625RW1939,YT
TOPIC0,8896985625RW1946,YT
TOPIC0,8896985625RW1949,YT
TOPIC0,8896985625RW1955,YT
TOPIC0,8896985625RW1964,YT
TOPIC0,8896985625RW1973,YT
TOPIC0,8896985625RW1974,YT
TOPIC0,8896985625RW1975,YT
TOPIC0,8896985625RW1980,YT
TOPIC0,8896985625RW2581,YT
TOPIC0,8896985625RW3263,YT
TOPIC0,8896985625RW3268,YT
TOPIC0,8896985625RW3272,YT
TOPIC0,8896985625RW3281,YT
TOPIC0,8891438340RW332,YT
TOPIC0,8891438340RW333,YT
TOPIC0,8891438340RW335,YT
TOPIC0,8891438340RW337,YT
TOPIC0,8891438340RW338,YT
TOPIC0,8891438340RW346,YT
TOPIC0,8891438340RW351,YT
TOPIC0,8891438340RW352,YT
TOPIC0,8891438340RW2574,YT
TOPIC0,8830104957RW246,YT
TOPIC0,8830104957RW252,YT
TOPIC0,8830104957RW260,YT
TOPIC0,8830104957RW261,YT
TOPIC0,8830104957RW262,YT
TOPIC0,8830104957RW264,YT
TOPIC0,8830104957RW266,YT
TOPIC0,8830104957RW267,YT
TOPIC0,8830104957RW1373,YT
TOPIC0,8830104957RW1375,YT
TOPIC0,8830104957RW1382,YT
TOPIC0,8830104957RW1385,YT
TOPIC0,8830104957RW1394,YT
TOPIC0,8830104957RW1395,YT
TOPIC0,8830104957RW1404,YT
TOPIC0,8830104957RW1405,YT
TOPIC0,8830104957RW1412,YT
TOPIC0,8830104957RW1427,YT
TOPIC0,8830104957RW1430,YT
TOPIC0,8830104957RW1433,YT
TOPIC0,8830104957RW1441,YT
TOPIC0,8830104957RW1451,YT
TOPIC0,8830104957RW1452,YT
TOPIC0,8830104957RW1456,YT
TOPIC0,8830104957RW1468,YT
TOPIC0,8830104957RW1469,YT
TOPIC0,8830104957RW1470,YT
TOPIC0,8830104957RW1471,YT
TOPIC0,8830104957RW1472,YT
TOPIC0,8830104957RW1473,YT
TOPIC0,8830104957RW1475,YT
TOPIC0,8830104957RW1477,YT
TOPIC0,8830104957RW1478,YT
TOPIC0,8830104957RW3201,YT
TOPIC0,8830104957RW3211,YT
TOPIC0,8830104957RW3217,YT
TOPIC0,8830104957RW3218,YT
TOPIC0,8830104957RW3219,YT
TOPIC0,B0CTS4LK18RW1738,YT
TOPIC0,B0CTS4LK18RW1741,YT
TOPIC0,B0CTS4LK18RW1742,YT
TOPIC0,B0CTS4LK18RW3314,YT
TOPIC0,B0CTS4LK18RW3315,YT
TOPIC0,B0CTS4LK18RW3317,YT
TOPIC0,B0CTS4LK18RW3318,YT
TOPIC0,B0CTS4LK18RW3328,YT
TOPIC0,B0CTS4LK18RW3339,YT
TOPIC0,B0CTS4LK18RW3340,YT
TOPIC0,B0CTS4LK18RW3344,YT
TOPIC0,8817173436RW936,YT
TOPIC0,8817173436RW3582,YT
TOPIC0,1798606364RW2450,YT
TOPIC0,1798606364RW2453,YT
TOPIC0,1798606364RW2462,YT
TOPIC0,1798606364RW2465,YT
TOPIC0,1798606364RW2469,YT
TOPIC0,1798606364RW2476,YT
TOPIC0,8893881284RW363,YT
TOPIC0,8893881284RW372,YT
TOPIC0,8893881284RW692,YT
TOPIC0,8893881284RW693,YT
TOPIC0,8893881284RW699,YT
TOPIC0,8893881284RW716,YT
TOPIC0,8893881284RW719,YT
TOPIC0,8893881284RW722,YT
TOPIC0,8893881284RW723,YT
TOPIC0,8893881284RW727,YT
TOPIC0,8893881284RW1272,YT
TOPIC0,8893881284RW1273,YT
TOPIC0,8893881284RW1274,YT
TOPIC0,8893881284RW1275,YT
TOPIC0,8893881284RW1279,YT
TOPIC0,8893881284RW1284,YT
TOPIC0,8893881284RW1287,YT
TOPIC0,8893881284RW1291,YT
TOPIC0,8893881284RW1292,YT
TOPIC0,8893881284RW1293,YT
TOPIC0,8893881284RW1295,YT
TOPIC0,8893881284RW1297,YT
TOPIC0,8893881284RW1302,YT
TOPIC0,8893881284RW1306,YT
TOPIC0,8893881284RW1307,YT
TOPIC0,8893881284RW1318,YT
TOPIC0,8893881284RW1323,YT
TOPIC0,8893881284RW1324,YT
TOPIC0,8893881284RW1326,YT
TOPIC0,8893881284RW1332,YT
TOPIC0,8893881284RW1335,YT
TOPIC0,8893881284RW1336,YT
TOPIC0,8893881284RW1340,YT
TOPIC0,8893881284RW1342,YT
TOPIC0,8893881284RW1347,YT
TOPIC0,8893881284RW1349,YT
TOPIC0,8893881284RW1352,YT
TOPIC0,8893881284RW1353,YT
TOPIC0,8893881284RW1356,YT
TOPIC0,8893881284RW1360,YT
TOPIC0,8893881284RW1362,YT
TOPIC0,8893881284RW1364,YT
TOPIC0,8893881284RW1367,YT
TOPIC0,8893881284RW1996,YT
TOPIC0,8893881284RW1998,YT
TOPIC0,8893881284RW2000,YT
TOPIC0,8893881284RW2011,YT
TOPIC0,8893881284RW2020,YT
TOPIC0,8893881284RW2026,YT
TOPIC0,8893881284RW2027,YT
TOPIC0,8893881284RW2029,YT
TOPIC0,8893881284RW2032,YT
TOPIC0,8893881284RW2036,YT
TOPIC0,8893881284RW2037,YT
TOPIC0,8893881284RW2043,YT
TOPIC0,8893881284RW2045,YT
TOPIC0,8893881284RW2046,YT
TOPIC0,8893881284RW3231,YT
TOPIC0,8893881284RW3247,YT
TOPIC0,8893881284RW3248,YT
TOPIC0,8893881284RW3253,YT
TOPIC0,8804772999RW947,YT
TOPIC0,8804772999RW949,YT
TOPIC0,8804772999RW954,YT
TOPIC0,8804772999RW956,YT
TOPIC0,8804772999RW957,YT
TOPIC0,B0DP1JD4XDRW915,YT
TOPIC0,8804761350RW313,YT
TOPIC0,8804761350RW316,YT
TOPIC0,8817189782RW2831,YT
TOPIC0,8817189782RW2837,YT
TOPIC0,8817189782RW2845,YT
TOPIC0,8804790342RW748,YT
TOPIC0,B0DQFHXCXDRW2775,YT
TOPIC0,B0DQFHXCXDRW2776,YT
TOPIC0,B076H8MFMJRW1075,YT
TOPIC0,B076H8MFMJRW1097,YT
TOPIC0,B076H8MFMJRW1120,YT
TOPIC0,B076H8MFMJRW1123,YT
TOPIC0,B076H8MFMJRW1140,YT
TOPIC0,B076H8MFMJRW1141,YT
TOPIC0,B076H8MFMJRW1142,YT
TOPIC0,B076H8MFMJRW1145,YT
TOPIC0,B076H8MFMJRW1151,YT
TOPIC0,B076H8MFMJRW1155,YT
TOPIC0,B076H8MFMJRW1158,YT
TOPIC0,B076H8MFMJRW1167,YT
TOPIC0,B076H8MFMJRW3617,YT
TOPIC0,B076H8MFMJRW3621,YT
TOPIC0,8807897458RW652,YT
TOPIC0,8807897458RW656,YT
TOPIC0,8807897458RW659,YT
TOPIC0,8807897458RW672,YT
TOPIC0,8807897458RW673,YT
TOPIC0,8807897458RW687,YT
TOPIC0,8807897458RW689,YT
TOPIC0,8807897458RW788,YT
TOPIC0,8807897458RW800,YT
TOPIC0,8807897458RW805,YT
TOPIC0,8807897458RW810,YT
TOPIC0,8807897458RW820,YT
TOPIC0,8807897458RW822,YT
TOPIC0,8807897458RW825,YT
TOPIC0,8807897458RW826,YT
TOPIC0,8807897458RW827,YT
TOPIC0,8807897458RW831,YT
TOPIC0,8807897458RW835,YT
TOPIC0,8807897458RW851,YT
TOPIC0,8807897458RW853,YT
TOPIC0,8807897458RW854,YT
TOPIC0,8807897458RW856,YT
TOPIC0,8807897458RW1866,YT
TOPIC0,8807897458RW1868,YT
TOPIC0,8807897458RW1875,YT
TOPIC0,8807897458RW1881,YT
TOPIC0,8807897458RW1882,YT
TOPIC0,8807897458RW1883,YT
TOPIC0,B0DSM2GLDKRW376,YT
TOPIC0,B0DSM2GLDKRW379,YT
TOPIC0,B0DSM2GLDKRW399,YT
TOPIC0,B0DSM2GLDKRW402,YT
TOPIC0,B0DSM2GLDKRW410,YT
TOPIC0,B0DSM2GLDKRW416,YT
TOPIC0,B0DSM2GLDKRW417,YT
TOPIC0,B0DSM2GLDKRW419,YT
TOPIC0,B0DSM2GLDKRW420,YT
TOPIC0,B0DSM2GLDKRW422,YT
TOPIC0,B0DSM2GLDKRW424,YT
TOPIC0,B0DSM2GLDKRW425,YT
TOPIC0,B0DSM2GLDKRW426,YT
TOPIC0,B0DSM2GLDKRW428,YT
TOPIC0,B0DSM2GLDKRW431,YT
TOPIC0,B0DSM2GLDKRW432,YT
TOPIC0,B0DSM2GLDKRW433,YT
TOPIC0,B0DSM2GLDKRW434,YT
TOPIC0,B0DSM2GLDKRW435,YT
TOPIC0,B0DSM2GLDKRW441,YT
TOPIC0,B0DSM2GLDKRW443,YT
TOPIC0,B0CB237DYYRW1494,YT
TOPIC0,B0CB237DYYRW1511,YT
TOPIC0,B0CB237DYYRW1513,YT
TOPIC0,B0CB237DYYRW1515,YT
TOPIC0,B0CB237DYYRW1516,YT
TOPIC0,B0CB237DYYRW1518,YT
TOPIC0,B0CB237DYYRW1526,YT
TOPIC0,B0CB237DYYRW1530,YT
TOPIC0,B0CB237DYYRW1538,YT
TOPIC0,8858043057RW568,YT
TOPIC0,8858043057RW569,YT
TOPIC0,8858043057RW575,YT
TOPIC0,8858043057RW584,YT
TOPIC0,8858043057RW587,YT
TOPIC0,8858043057RW588,YT
TOPIC0,8858043057RW589,YT
TOPIC0,8858043057RW615,YT
TOPIC0,8858043057RW619,YT
TOPIC0,8858043057RW626,YT
TOPIC0,8858043057RW628,YT
TOPIC0,8858043057RW629,YT
TOPIC0,8858043057RW630,YT
TOPIC0,8858043057RW631,YT
TOPIC0,8858043057RW632,YT
TOPIC0,8858043057RW634,YT
TOPIC0,8858043057RW636,YT
TOPIC0,8858043057RW637,YT
TOPIC0,8858043057RW639,YT
TOPIC0,8858043057RW640,YT
TOPIC0,8858043057RW2870,YT
TOPIC0,8858043057RW2871,YT
TOPIC0,8858043057RW2873,YT
TOPIC0,8811603692RW451,YT
TOPIC0,8811603692RW452,YT
TOPIC0,8811603692RW465,YT
TOPIC0,8811603692RW466,YT
TOPIC0,8811603692RW468,YT
TOPIC0,8811603692RW469,YT
TOPIC0,8811603692RW472,YT
TOPIC0,8811603692RW475,YT
TOPIC0,8811603692RW481,YT
TOPIC0,8811603692RW488,YT
TOPIC0,8811603692RW489,YT
TOPIC0,8811603692RW499,YT
TOPIC0,8811603692RW505,YT
TOPIC0,8811603692RW507,YT
TOPIC0,8811603692RW509,YT
TOPIC0,8811603692RW519,YT
TOPIC0,8811603692RW520,YT
TOPIC0,8811603692RW522,YT
TOPIC0,8811603692RW524,YT
TOPIC0,8897109705RW1775,YT
TOPIC0,8897109705RW1779,YT
TOPIC0,8897109705RW1780,YT
TOPIC0,8897109705RW1782,YT
TOPIC0,8897109705RW1791,YT
TOPIC0,8897109705RW1798,YT
TOPIC0,8897109705RW1806,YT
TOPIC0,8897109705RW1809,YT
TOPIC0,8897109705RW1815,YT
TOPIC0,8897109705RW1817,YT
TOPIC0,8897109705RW1822,YT
TOPIC0,8897109705RW1827,YT
TOPIC0,8897109705RW1829,YT
TOPIC0,8897109705RW1840,YT
TOPIC0,8897109705RW1841,YT
TOPIC0,8897109705RW1843,YT
TOPIC0,8897109705RW1844,YT
TOPIC0,8897109705RW1846,YT
TOPIC0,8897109705RW1847,YT
TOPIC0,8897109705RW1849,YT
TOPIC0,8897109705RW1854,YT
TOPIC0,8897109705RW1858,YT
TOPIC0,8897109705RW1861,YT
TOPIC0,B09MYSV86TRW2732,YT
TOPIC0,B09MYSV86TRW2734,YT
TOPIC0,B09MYSV86TRW2735,YT
TOPIC0,B09MYSV86TRW2739,YT
TOPIC0,B09MYSV86TRW2749,YT
TOPIC0,B09MYSV86TRW2750,YT
TOPIC0,B09MYSV86TRW2757,YT
TOPIC0,B09MYSV86TRW2759,YT
TOPIC0,B09MYSV86TRW2760,YT
TOPIC0,B09MYSV86TRW2761,YT
TOPIC0,B09MYSV86TRW2767,YT
TOPIC0,B00DJ2KYQQRW731,YT
TOPIC0,B00DJ2KYQQRW739,YT
TOPIC0,B00DJ2KYQQRW742,YT
TOPIC0,B00DJ2KYQQRW2071,YT
TOPIC0,B00DJ2KYQQRW2077,YT
TOPIC0,B00DJ2KYQQRW2080,YT
TOPIC0,B00DJ2KYQQRW2484,YT
TOPIC0,B00DJ2KYQQRW2485,YT
TOPIC0,B00DJ2KYQQRW2487,YT
TOPIC0,B00DJ2KYQQRW2875,YT
TOPIC0,B00DJ2KYQQRW2876,YT
TOPIC0,B00DJ2KYQQRW2879,YT
TOPIC0,B00DJ2KYQQRW2888,YT
TOPIC0,B00DJ2KYQQRW2902,YT
TOPIC0,B00DJ2KYQQRW2903,YT
TOPIC0,B00DJ2KYQQRW2915,YT
TOPIC0,B00DJ2KYQQRW2917,YT
TOPIC0,B00DJ2KYQQRW2922,YT
TOPIC0,B00DJ2KYQQRW2926,YT
TOPIC0,B00DJ2KYQQRW2932,YT
TOPIC0,B00DJ2KYQQRW2937,YT
TOPIC0,B00DJ2KYQQRW2938,YT
TOPIC0,B00DJ2KYQQRW3592,YT
TOPIC0,B00DJ2KYQQRW3594,YT
TOPIC0,B00DJ2KYQQRW3595,YT
TOPIC0,885815553XRW3045,YT
TOPIC0,885815553XRW3061,YT
TOPIC0,B0CV5YHY7SRW450,YT
TOPIC0,B0CK1D7NYCRW3531,YT
TOPIC0,B0CK1D7NYCRW3539,YT
TOPIC0,B0CK1D7NYCRW3548,YT
TOPIC0,B0CK1D7NYCRW3556,YT
TOPIC0,B0CK1D7NYCRW3563,YT
TOPIC0,B0CK1D7NYCRW3577,YT
TOPIC0,8804784474RW1223,YT
TOPIC0,8804784474RW1230,YT
TOPIC0,8804784474RW1231,YT
TOPIC0,8804751169RW746,YT
TOPIC0,8804751169RW1244,YT
TOPIC0,8804751169RW1247,YT
TOPIC0,8804751169RW1250,YT
TOPIC0,8804751169RW1255,YT
TOPIC0,8804751169RW1257,YT
TOPIC0,8804751169RW1259,YT
TOPIC0,8804751169RW1260,YT
TOPIC0,8804751169RW1261,YT
TOPIC0,8804751169RW2184,YT
TOPIC0,8804751169RW2198,YT
TOPIC0,8804751169RW2199,YT
TOPIC0,8804751169RW2200,YT
TOPIC0,8804751169RW2201,YT
TOPIC0,8804751169RW3427,YT
TOPIC0,8804751169RW3437,YT
TOPIC0,8804751169RW3442,YT
TOPIC0,8804751169RW3447,YT
TOPIC0,8804751169RW3453,YT
TOPIC0,8804751169RW3456,YT
TOPIC0,8804751169RW3457,YT
TOPIC0,8804751169RW3458,YT
TOPIC0,8804751169RW3460,YT
TOPIC0,8804751169RW3486,YT
TOPIC0,8804751169RW3487,YT
TOPIC0,8804751169RW3502,YT
TOPIC0,8804751169RW3506,YT
TOPIC0,8804751169RW3508,YT
TOPIC0,8804751169RW3512,YT
TOPIC0,8832857235RW1378,YT
TOPIC0,8804776455RW1646,YT
TOPIC0,8804776455RW1650,YT
TOPIC0,8804776455RW1655,YT
TOPIC0,8804776455RW1659,YT
TOPIC0,8804776455RW1672,YT
TOPIC0,8804776455RW1681,YT
TOPIC0,8804776455RW1683,YT
TOPIC0,8804776455RW1690,YT
TOPIC0,8804776455RW1692,YT
TOPIC0,8804776455RW1694,YT
TOPIC0,8804776455RW1696,YT
TOPIC0,8804776455RW1714,YT
TOPIC0,8845938484RW1744,YT
TOPIC0,8845938484RW1749,YT
TOPIC0,8863114161RW2857,YT
TOPIC0,8863114161RW2859,YT
TOPIC0,8863114161RW2862,YT
TOPIC0,8863114161RW2863,YT
TOPIC0,8863114161RW2865,YT
TOPIC0,8836000185RW2672,YT
TOPIC0,8836000185RW2684,YT
TOPIC0,8836000185RW2686,YT
TOPIC0,8836000185RW2695,YT
TOPIC0,8836000185RW2711,YT
TOPIC0,8836000185RW2714,YT
TOPIC0,8836000185RW2718,YT
TOPIC0,8893780712RW2589,YT
TOPIC0,8893780712RW2591,YT
TOPIC0,8893780712RW2594,YT
TOPIC0,8893780712RW2604,YT
TOPIC0,8893780712RW2607,YT
TOPIC0,8893780712RW2613,YT
TOPIC0,8893780712RW2617,YT
TOPIC0,8893780712RW2624,YT
TOPIC0,8893780712RW2626,YT
TOPIC0,8893780712RW2630,YT
TOPIC0,8893780712RW2641,YT
TOPIC0,8893780712RW2643,YT
TOPIC0,8893780712RW2645,YT
TOPIC0,8893780712RW2647,YT
TOPIC0,8893780712RW2652,YT
TOPIC0,8893780712RW2654,YT
TOPIC0,8893780712RW2656,YT
TOPIC0,8893780712RW2658,YT
TOPIC0,8893780712RW2660,YT
TOPIC0,8893780712RW2661,YT
TOPIC0,8893780712RW2662,YT
TOPIC0,B09R967KKQRW2780,YT
TOPIC0,B09R967KKQRW2789,YT
TOPIC0,B09R967KKQRW2790,YT
TOPIC0,B09R967KKQRW2791,YT
TOPIC0,B09R967KKQRW2795,YT
TOPIC0,B09R967KKQRW2796,YT
TOPIC0,8833916766RW318,YT
TOPIC0,8833916766RW319,YT
TOPIC0,8833916766RW323,YT
TOPIC0,8833916766RW325,YT
TOPIC0,8804665289RW1542,YT
TOPIC0,8804665289RW1544,YT
TOPIC0,8804665289RW1545,YT
TOPIC0,8804665289RW1547,YT
TOPIC0,8804665289RW1561,YT
TOPIC0,8804665289RW1565,YT
TOPIC0,8804665289RW1567,YT
TOPIC0,8804665289RW1570,YT
TOPIC0,8804665289RW1573,YT
TOPIC0,8804665289RW1574,YT
TOPIC0,8804665289RW1587,YT
TOPIC0,8804665289RW1591,YT
TOPIC0,8804665289RW1592,YT
TOPIC0,8804665289RW1597,YT
TOPIC0,8804665289RW1600,YT
TOPIC0,8804665289RW1601,YT
TOPIC0,8804665289RW1608,YT
TOPIC0,8804665289RW1610,YT
TOPIC0,8804665289RW1614,YT
TOPIC0,8804665289RW1615,YT
TOPIC0,8804665289RW1626,YT
TOPIC0,8804665289RW1632,YT
TOPIC0,8804665289RW1633,YT
TOPIC0,8804665289RW1634,YT
TOPIC0,8804665289RW1637,YT
TOPIC0,8804665289RW1638,YT
TOPIC0,8804665289RW2089,YT
TOPIC0,8804665289RW2091,YT
TOPIC0,8804665289RW2256,YT
TOPIC0,8804665289RW2259,YT
TOPIC0,8804665289RW2260,YT
TOPIC0,8804665289RW2266,YT
TOPIC0,B0D5T7WZPKRW3288,YT
TOPIC0,B0D5T7WZPKRW3293,YT
TOPIC0,B0D5T7WZPKRW3300,YT
TOPIC0,B0D5T7WZPKRW3308,YT
TOPIC0,B0D5T7WZPKRW3309,YT
TOPIC0,B0D5T7WZPKRW3310,YT
TOPIC0,3730615874RW2769,YT
TOPIC0,8891442542RW3359,YT
TOPIC0,8807894408RW2203,YT
TOPIC0,8807894408RW2205,YT
TOPIC0,8807894408RW2207,YT
TOPIC0,8807894408RW2216,YT
TOPIC0,8807894408RW2217,YT
TOPIC0,8807894408RW2224,YT
TOPIC0,8807894408RW2227,YT
TOPIC0,8807894408RW2228,YT
TOPIC0,8807894408RW2233,YT
TOPIC0,8807894408RW2237,YT
TOPIC0,8807894408RW2238,YT
TOPIC0,8807894408RW2240,YT
TOPIC0,8807894408RW2241,YT
TOPIC0,8807894408RW2242,YT
TOPIC0,8897109853RW1174,YT
TOPIC0,8897109853RW1176,YT
TOPIC0,8897109853RW1178,YT
